PathId,ONode,DNode,NumberOfArcs,Length,Gravity,ArcGisObjectId,WGravity,GravityIJ,GravityJI,WGravityIJ,WGravityJI,RT_Wh
1,1,3,10,253115,0.001430464,1,3,0,0,0,0,253115
2,1,6,3,79329,0.027208589,1,6,0,0,0,0,79329
3,1,7,4,100175,0.001895501,1,7,0,0,0,0,100175
4,1,9,10,215782,0.000203953,1,9,0,0,0,0,215782
5,1,10,4,79718,0.009987999,1,10,0,0,0,0,79718
6,1,11,5,149964,0.000675633,1,11,0,0,0,0,149964
7,1,13,6,177139,0.001429309,1,13,0,0,0,0,177139
8,1,14,6,129850,0.010279745,1,14,0,0,0,0,129850
9,1,19,12,250529,0.000532401,1,19,0,0,0,0,250529
10,1,27,29,525302,8.0408E-07,1,27,0,0,0,0,525302
11,1,37,17,327657,0.000384696,1,37,0,0,0,0,327657
12,1,46,2,54642,0.017920212,1,46,0,0,0,0,54642
13,1,50,25,550605,2.10061E-06,1,50,0,0,0,0,550605
14,1,53,25,530816,6.09792E-07,1,53,0,0,0,0,530816
15,1,54,23,474428,4.52054E-06,1,54,0,0,0,0,474428
16,1,55,8,172657,0.000873888,1,55,0,0,0,0,172657
17,1,59,27,389688,9.10149E-05,1,59,0,0,0,0,389688
18,1,63,20,454625,1.79668E-06,1,63,0,0,0,0,454625
19,1,64,32,597779,1.57738E-07,1,64,0,0,0,0,597779
20,1,69,10,312263,0.000432845,1,69,0,0,0,0,312263
21,1,71,3,92921,0.021179684,1,71,0,0,0,0,92921
22,1,79,22,463934,2.64577E-05,1,79,0,0,0,0,463934
23,1,82,10,220635,0.018758817,1,82,0,0,0,0,220635
24,1,88,17,381812,0.000226479,1,88,0,0,0,0,381812
25,1,93,20,366831,0.000392281,1,93,0,0,0,0,366831
26,1,98,16,372447,0.00025891,1,98,0,0,0,0,372447
27,1,101,20,425125,6.91278E-05,1,101,0,0,0,0,425125
28,1,107,19,399122,0.000313922,1,107,0,0,0,0,399122
29,1,109,17,394305,0.000135257,1,109,0,0,0,0,394305
30,1,110,9,188949,0.000993756,1,110,0,0,0,0,188949
31,1,117,13,313372,0.000304419,1,117,0,0,0,0,313372
32,1,118,10,198554,0.007949907,1,118,0,0,0,0,198554
33,1,124,12,274918,0.000855079,1,124,0,0,0,0,274918
34,1,145,20,372178,0.000119816,1,145,0,0,0,0,372178
35,1,147,6,160983,0.001644503,1,147,0,0,0,0,160983
36,1,149,29,471051,2.3199E-05,1,149,0,0,0,0,471051
37,1,153,30,525385,2.93354E-06,1,153,0,0,0,0,525385
38,1,158,12,225834,0.000668806,1,158,0,0,0,0,225834
39,1,161,12,251630,0.003015518,1,161,0,0,0,0,251630
40,1,162,14,292806,0.000254784,1,162,0,0,0,0,292806
41,1,169,26,410521,0.000118925,1,169,0,0,0,0,410521
42,1,176,16,346711,0.000173712,1,176,0,0,0,0,346711
43,1,183,22,371273,0.000559168,1,183,0,0,0,0,371273
44,1,197,23,379360,3.95346E-05,1,197,0,0,0,0,379360
45,1,203,28,437534,2.38627E-05,1,203,0,0,0,0,437534
46,1,209,21,434164,0.000111425,1,209,0,0,0,0,434164
47,1,217,30,538755,3.82803E-06,1,217,0,0,0,0,538755
48,1,223,31,567230,1.35232E-06,1,223,0,0,0,0,567230
49,1,232,34,608902,8.75254E-07,1,232,0,0,0,0,608902
50,1,238,34,604990,1.11571E-07,1,238,0,0,0,0,604990
51,1,240,26,588032,2.85083E-06,1,240,0,0,0,0,588032
52,1,241,36,628248,1.24267E-06,1,241,0,0,0,0,628248
53,1,242,37,652355,6.67502E-07,1,242,0,0,0,0,652355
54,1,248,39,679517,4.77062E-07,1,248,0,0,0,0,679517
55,1,250,28,650021,4.11658E-07,1,250,0,0,0,0,650021
56,1,256,41,690915,2.78927E-07,1,256,0,0,0,0,690915
57,1,257,43,704980,3.00087E-07,1,257,0,0,0,0,704980
58,1,266,46,728400,2.116E-07,1,266,0,0,0,0,728400
59,1,270,47,726482,2.63538E-07,1,270,0,0,0,0,726482
60,1,273,48,763169,6.92509E-08,1,273,0,0,0,0,763169
61,1,276,9,312414,0.00036144,1,276,0,0,0,0,312414
62,1,277,10,217066,0.002228389,1,277,0,0,0,0,217066
63,1,282,6,116457,0.004442409,1,282,0,0,0,0,116457
64,1,285,5,138047,0.007262196,1,285,0,0,0,0,138047
65,1,292,2,39164,0.347189987,1,292,0,0,0,0,39164
66,1,294,10,352179,0.000357371,1,294,0,0,0,0,352179
67,1,295,10,253407,0.000644558,1,295,0,0,0,0,253407
68,1,296,49,904822,0,1,296,0,0,0,0,904822
69,1,297,7,227066,0.001663747,1,297,0,0,0,0,227066
70,1,298,2,42570,0.027215648,1,298,0,0,0,0,42570
71,1,299,16,320134,0.00012595,1,299,0,0,0,0,320134
72,1,300,22,431844,1.62932E-05,1,300,0,0,0,0,431844
73,1,301,25,485267,1.95557E-05,1,301,0,0,0,0,485267
74,3,6,13,332444,0.000848652,3,6,0,0,0,0,332444
75,3,7,9,199519,0.002208195,3,7,0,0,0,0,199519
76,3,9,20,468897,6.90585E-06,3,9,0,0,0,0,468897
77,3,10,14,332833,0.000315857,3,10,0,0,0,0,332833
78,3,11,15,403079,2.24546E-05,3,11,0,0,0,0,403079
79,3,13,4,75976,0.137876364,3,13,0,0,0,0,75976
80,3,14,5,103897,0.138875129,3,14,0,0,0,0,103897
81,3,19,2,39561,1.037699656,3,19,0,0,0,0,39561
82,3,27,28,371351,0.000210238,3,27,0,0,0,0,371351
83,3,37,8,149303,0.148633344,3,37,0,0,0,0,149303
84,3,46,11,265524,0.001407276,3,46,0,0,0,0,265524
85,3,50,22,438170,0.000168208,3,50,0,0,0,0,438170
86,3,53,29,374707,0.000124634,3,53,0,0,0,0,374707
87,3,54,27,344936,0.000782096,3,54,0,0,0,0,344936
88,3,55,5,69650,0.082435749,3,55,0,0,0,0,69650
